wavelength;unc;wavenumber;Int;DQ;D;J;Jn;decaywidth;lowerlevel;upperlevel;;
Wavelengths;Unc.;sigma;Int;D;D;J;J';Decay width;Lower Level;Upper Level;;
723.217;0.035;138271;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?17d ?0? ?1/2 , ?1? ?1/2,3/2 ,;;
723.512;0.015;138215;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?18s ?2? ?3/2;;
723.61;0.035;138196;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?16d ?0? ?1/2 , ?1? ?1/2,3/2 ,;;
723.948;0.015;138131;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?17s ?2? ?3/2;;
724.199;0.035;138084;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?15d ?0? ?1/2 , ?1? ?1/2,3/2 ,;;
724.598;0.015;138008;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?16s ?2? ?3/2;;
724.916;0.035;137947;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?14d ?0? ?1/2 , ?1? ?1/2,3/2 ,;;
725.384;0.015;137858;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?15s ?2? ?3/2;;
725.739;0.035;137791;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?13d ?0? ?1/2 , ?1? ?1/2,3/2 ,;;
726.532;0.015;137640;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?14s ?2? ?3/2;;
726.961;0.035;137559;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?12d ?0? ?1/2 , ?1? ?1/2,3/2 ,;;
727.943;0.015;137373;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?13s ?2? ?3/2;;
728.302;0.015;137306;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?9s ?1? ?3/2;;
728.741;0.035;137223;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?11d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2 96BAI/MAH;;
730.146;0.015;136959;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?12s ?2? ?3/2;;
731.257;0.035;136751;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?10d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2 96BAI/MAH;;
732.169;0.035;136580;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?7d ?1? ?1/2,3/2 , ?2? ?3/2;;
733.161;0.015;136396;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?11s ?2? ?3/2;;
734.946;0.035;136064;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?9d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
735.218;0.035;136014;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?9d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
738.493;0.015;135411;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?10s ?2? ?3/2;;
741.106;0.035;134933;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?8d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
741.429;0.035;134875;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?8d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
741.977;0.035;134775;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?8d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
745.84;0.015;134077;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?5s ?1? ?3/2;;
746.373;0.015;133981;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?5s ?1? ?3/2;;
747.694;0.015;133745;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?9s ?2? ?3/2;;
747.89;0.035;133710;;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?5d ?1? ?1/2,3/2 , ?2? ?3/2;;
749.052;0.035;133502;;;;;;;6s 2 S 1/2;5p 5 6s? 1 P 1 ?5d ?1? ?1/2,3/2 , ?2? ?3/2;;
751.356;0.035;133093;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?7d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
752.949;0.035;132811;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?7d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
753.768;0.035;132667;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?7d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
754.263;0.035;132580;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?6d ?1? ?1/2,3/2 , ?2? ?3/2;;
755.869;0.035;132298;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?6d ?1? ?1/2,3/2 , ?2? ?3/2;;
758.104;0.035;131908;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 0 ?5d ?2? ?3/2;;
765.759;0.015;130589;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?8s ?2? ?3/2;;
776.258;0.035;128823;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?6d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
778.695;0.035;128420;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?6d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
779.774;0.035;128242;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?6d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
781.393;0.035;127977;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?6d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
784.85;0.015;127413;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?7s ?1? ?3/2;;
790.583;0.015;126489;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?7s ?1? ?3/2;;
809.809;0.015;123486;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?7s ?2? ?3/2;;
815.606;0.035;122608;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?5d ?1? ?1/2,3/2 , ?2? ?3/2;;
828.606;0.035;120685;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?5d ?1? ?1/2,3/2 , ?2? ?3/2;;
832.872;0.035;120066;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 1 ?5d ?1? ?1/2,3/2 , ?2? ?3/2;;
849.689;0.035;117690;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?5d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
873.015;0.035;114546;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?5d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
874.685;0.035;114327;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?5d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
881.136;0.035;113490;;;;;;;6s 2 S 1/2;5p 5 6s? 3 P 2 ?5d ?0? ?1/2 , ?1? ?1/2,3/2 , ?2? ?3/2;;
969.0;0.5;103200;;;;;;;5d 2 D 3/2;5p 5 6s5d 4 D ?1/2;;
1089.98;0.035;91745;;;;;;2.40E+06;5d 2 D 3/2;5p 5 6s? 3 P 2 ?5d 4 P ?5/2;;
1091.11;0.035;91650;;;;;;4.00E+07;5d 2 D 5/2;5p 5 6s? 3 P 2 ?5d 4 P ?5/2;;
1195.8;0.3;83626;;;;;;;6d 2 D 3/2,5/2 5p 5 6s? 3 P 2 ?5d 4 P ?5/2;;;
1257.2;0.3;80180;;;;;;;7d 2 D 3/2,5/2 5p 5 6s? 3 P 2 ?5d 4 P ?5/2;;;
3246.236;0.005;30796.02;;0.012992710222267539;;;;6871.851024297044;6s 2 S 1/2;17p 2 P ?1/2;;
3256.672;0.005;30697.34;;-0.039261943534951785;;;;31074.634690254996;6s 2 S 1/2;16p 2 P ?3/2;;
3257.071;0.005;30693.58;;-0.014833425807027102;;;;8867.797150837412;6s 2 S 1/2;16p 2 P ?1/2;;
3270.474;0.005;30567.8;;0.04512978525498643;;;;40539.55111896687;6s 2 S 1/2;15p 2 P ?3/2;;
3270.977;0.005;30563.1;;0.01717575429388557;;;;11738.528702383202;6s 2 S 1/2;15p 2 P ?1/2;;
3288.601;0.005;30399.31;;;;;;8.94E+03;6s 2 S 1/2;14p 2 P ?3/2;;
3289.286;0.005;30392.98;;;;;;2.52E+02;6s 2 S 1/2;14p 2 P ?1/2;;
3313.121;0.005;30174.34;;;;;;1.45E+04;6s 2 S 1/2;13p 2 P ?3/2;;
3314.055;0.005;30165.83;;;;;;4.97E+02;6s 2 S 1/2;13p 2 P ?1/2;;
